  1. Achega                             → Minde, Portugal  [freguesía]
  2. Adolfo Gonzáles Chaves             → Adolfo Gonzales Chaves  [asentamiento]
  3. Aguilar                            → Saint Joseph the Patriarch Parish Chur  [iglesia parroquial católica]
  4. Agustín Comastri                   → Vicario general de la Ciudad del Vatic  [cargo]
  5. Agustín R. Caffarena               → República de La Boca  [micronación]
  6. Aizpurúa                           → Cannabinoid  [group of chemical entities]
  7. Albariño                           → Albariño  [variedad vinífera]
  8. Albarracín                         → Frías de Albarracín  [enclave, municipio de Aragón]
  9. Alberto Mortz                      → Signo de interrogación  [?]
 10. Alcaraz                            → QQ559140  [municipio de España]
 11. Alejandro Petion                   → Alejandro Petión  [asentamiento]
 12. Alfredo Gramajo Gutiérrez          → Argentina  [Estado confesional, Estado sober]
 13. Almagro                            → Corral de comedias de Almagro  [teatro, corral de comedias]
 14. Ana María Janer                    → Ana María Janer (premetro de Buenos Ai  [parada de tranvía]
 15. Anasagasti                         → Anasagasti  [negocio, empresa]
 16. Anchoris                           → Assembly of the Year XIII  [asamblea constituyente]
 17. Antonio Cambiasso                  → Villa del Parque (Buenos Aires)  [barrios de la ciudad de Buenos A]
 18. Antonio L. Zolezzi                 → La guerra gaucha (película)  [película]
 19. Aníbal Pedro Arbeletche            → Elecciones legislativas de Argentina d  [elección legislativa]
 20. Aquino                             → Aquino  [comuna de Italia]
 21. Arce                               → Acer (planta)  [taxón]
 22. Arquitecto Arturo J. Dubourg       → List of music students by teacher: G t  [lista de Wikimedia relacionada c]
 23. Arroyo                             → Arroyo  [?]
 24. Avalle                             → Condado de Chacón  [condado jurisdiccional]
 25. Añasco                             → QQ2390910  [municipio de Puerto Rico]
 26. Baigorri                           → Baigorri  [comuna francesa]
 27. Balbastro                          → QQ5841032  [parada de tranvía]
 28. Baragaña                           → Segundo gobierno de Adrián Barbón  [Consejo de Gobierno del Principa]
 29. Barraca Peña                       → Buenos Aires and Ensenada Port Railway  [empresa ferroviaria, línea férre]
 30. Barrientos                         → Barrientos de la Vega  [entidad singular de población]
 31. Barzana                            → Barzana  [comuna de Italia]
 32. Bathurst                           → Bathurst (Australia)  [ciudad]
 33. Beade                              → Beade  [municipio de Galicia]
 34. Beazley                            → Beazley  [municipio, localidad, asentamien]
 35. Beniamino Semiza                   → Elecciones presidenciales de Argentina  [elección legislativa de Argentin]
 36. Bermúdez                           → Bermúdez  [apellido, apellido patronímico]
 37. Bernal                             → Bernal  [gran ciudad, ciudad]
 38. Bernaldes                          → Elmina Castle  [factoría, fuerte, patrimonio cul]
 39. Berthelot                          → Euphorbia regis-jubae  [taxón]
 40. Bertrés                            → QQ130411453  [calle]
 41. Besares                            → Metrotranvía Mendoza  [metro, línea férrea]
 42. Bialet Massé                       → QQ48291  [municipio]
 43. Butteler                           → Barrio Azucena Butteler  [?]
 44. Cabello                            → Pelo  [tipo de clase de estructura anat]
 45. Cabo de Patricios Orencio Pío Rodríguez → Asesinato de Calvo Sotelo  [asesinato político, homicidio do]
 46. Campillo                           → Seminario Mayor de San Pelagio  [seminario católico, edificio]
 47. Candela Sol Rodríguez              → Cuernavaca  [localidad de México]
 48. Capitán Claudio H. Rosales         → Partido de Coronel Rosales  [partido de la provincia de Bueno]
 49. Cardoso                            → Cardoso  [municipio de Brasil]
 50. Carlos Molina Arrotea              → Hussars of Pueyrredón  [regimiento de húsares]
 51. Carlos Norberto Vergara            → Club Atlético Banfield  [club de fútbol, club deportivo]
 52. Casco                              → Casco  [?]
 53. Castañón                           → Conopodium majus  [taxón]
 54. Chorroarín                         → Telégrafo Mercantil  [publicación periódica]
 55. Cipolletti                         → Cipolletti  [municipio, ciudad]
 56. Coghlan                            → Estación Coghlan  [estación de ferrocarril]
 57. Comandante Francisco Carbonari     → Carbonarios  [sociedad secreta, organización]
 58. Conde                              → Conde  [título nobiliario, cargo, título]
 59. Conscripto Bernardi                → Conscripto Bernardi  [municipio]
 60. Coronel Apolinario Figueroa        → Línea 24 (Buenos Aires)  [línea de autobús]
 61. Coronel Cabrer                     → Estadio Coronel Félix Cabrera  [estadio]
 62. Coronel Esteban Bonorino           → Villa Soldati  [barrios de la ciudad de Buenos A]
 63. Coronel Juan F. Czetz              → Colegio Militar de la Nación  [complejo de edificios, escuela m]
 64. Coronel Manuel José Olascoaga      → Villa Regina  [municipio, ciudad de Argentina]
 65. Coronel Marcelino E. Freyre        → Progressistas  [partido político]
 66. Coronel Pagola                     → Regimiento de Infantería de Monte 9  [regimiento de infantería, unidad]
 67. Coronel Rico                       → Coronel Manuel Leoncio Rico  [localidad]
 68. Coronel Rohde                      → Hyperpalatable food  [alimento]
 69. Coronel Toribio Tedín              → Plaza Fray Mocho (Retiro)  [plaza]
 70. Correa                             → QQ2493931  [taxón]
 71. Cortina                            → Cortina  [?]
 72. Cálcena                            → Calcena  [municipio de Aragón]
 73. Darwin Passaponti                  → Línea 501 (Moreno)  [línea de colectivo de Buenos Air]
 74. Darío Broggi                       → Santuario Nuestra Señora del Rosario d  [iglesia parroquial católica, san]
 75. Dekay                              → Isotelus  [taxón paleontológico]
 76. Del Libertador                     → Libertador  [grupo de humanos]
 77. Diego Fernández Espiro             → Pronunciamiento (Argentina)  [municipio]
 78. Diputado Nacional Jorge Mariano Almada → Cámara de Diputados de Entre Ríos  [poder legislativo, cámara de dip]
 79. Diputado Nacional Osvaldo Ernesto Benedetti → Elecciones provinciales de Entre Ríos   [elección]
 80. Doctor Alfredo Rivas               → Rolando Rivas, taxista  [serie de televisión]
 81. Doctor Honorio Pueyrredón          → Avenida Doctor Honorio Pueyrredón  [avenida]
 82. Doctor Horacio Casco               → La Pepa (1826)  [goleta]
 83. Doctor José Ignacio de la Roza     → Línea 27 (San Juan)  [línea de autobús]
 84. Doctor Juan Felipe Aranguren       → Góngora (Aranguren)  [despoblado]
 85. Doctor Luis Beláustegui            → Condado de Lences  [condado jurisdiccional]
 86. Doctor Nicolás Repetto             → Línea 24 (Buenos Aires)  [línea de autobús]
 87. Doctor Osvaldo Eguía               → National Socialist Movement of Chile  [partido político]
 88. Doctor Ricardo Finochietto         → Embassy of the Philippines, Buenos Air  [embajada]
 89. Doctor Rodolfo Rivarola            → Tango Argentino (musical)  [spectacle]
 90. Domingo Olivera                    → Olivera  [localidad]
 91. Don Pepe                           → Elecciones provinciales de Buenos Aire  [elección]
 92. Dora del Grande                    → Ojos del Salado  [montaña]
 93. Echauri                            → Echauri  [municipio de España]
 94. Echeverría                         → 1837 generation  [movimiento intelectual]
 95. Elena Larroque de Roffo            → Elecciones legislativas de Argentina d  [elección legislativa de Argentin]
 96. Elía                               → Elía  [concejo de Navarra, localidad]
 97. Elías Bedoya                       → List of mayors of Lima  [artículo de lista de personas de]
 98. Enrique Ochoa                      → Casa de Loyola  [linaje, familia]
 99. Enrique Udaondo                    → Luján, Buenos Aires  [sede de gobierno, localidad, ciu]
100. Erézcano                           → Erézcano  [localidad]
101. Espinosa                           → Battle of Martín García (1814)  [combate naval]
102. Esteban Crovara                    → Línea 126 (Buenos Aires)  [línea de autobús]
103. Ezeiza                             → Ezeiza  [gran ciudad, ciudad]
104. Fabre                              → Eusebio (name)  [nombre masculino]
105. Falucho                            → Falucho  [localidad]
106. Faraday                            → Miguel Hidalgo (Ciudad de México)  [demarcación territorial de la Ci]
107. Fernando Ghio                      → Fernando Poe Jr. station  [estación elevada, final de traye]
108. Ferrari                            → QQ5842884  [estación de ferrocarril antigua]
109. Fitz Roy                           → QQ5455568  [municipio, asentamiento, pueblo]
110. Florencio Balcarce                 → QQ126287008  [callejón]
111. Forest                             → QQ72946  [municipio de Bélgica]
112. Fortunato Devoto                   → Devoto (Córdoba)  [municipio]
113. Fournier                           → ARA Fournier  [dragaminas]
114. Francisco Antonio Rizzuto          → Lluvia de peces  [lluvia de animales]
115. Francisco Pracánico                → Avenida Corrientes  [calle peatonal, avenida]
116. Francisco de Uzal                  → C.F. Monterrey  [club de fútbol]
117. Francisco de Viedma                → Viedma, Río Negro  [municipio, ciudad de Argentina]
118. Fray Luis Beltrán                  → QQ5493943  [municipio]
119. Fray Pedro Agustín Cueli           → Regimiento de Patricios  [regimiento de infantería, regimi]
120. Félix Lima                         → Plaza Félix Lima  [plaza]
121. Félix Lynch Arribálzaga            → Academia Nacional de Ciencias de Córdo  [academia de ciencias]
122. Gabriel Lafond                     → Historia de la nobleza en Ecuador  [?]
123. Gabriela Mistral                   → Casa de Gabriela Mistral (Las Compañía  [bien cultural]
124. Gallardo                           → Candaba  [municipio de Filipinas]
125. Gallo                              → Gallus gallus domesticus  [taxón, organismo modelo, clase d]
126. Gana                               → QQ117  [Estado soberano, país]
127. Gaona                              → Gaona  [asentamiento]
128. Gastón Riva                        → Masacre de la plaza de Mayo del 20 de   [masacre]
129. General Enrique Martínez           → General Enrique Martínez  [pueblo]
130. General Enrique Mosconi            → Aeropuerto Internacional General Enriq  [aeropuerto, aeropuerto internaci]
131. General Enrique Spika              → Enrique V (teatro)  [obra dramática]
132. General Francisco Ramírez          → Republic of Entre Ríos  [Estado desaparecido, Estado sobe]
133. General Mosconi                    → Aeropuerto Internacional General Enriq  [aeropuerto, aeropuerto internaci]
134. Germán Abdala                      → Abdala (vaccine)  [medicamento]
135. Girardot                           → Girardot  [municipio de Colombia]
